,NTAName,Location,total people
65,Mariner's Harbor-Arlington-Graniteville,"40.631046,-74.147063",73.0
258,Mariner's Harbor-Arlington-Graniteville,"40.631687,-74.151795",465.0
217,Borough Park,"40.632839,-74.005321",184.0
251,Borough Park,"40.632924,-73.990247",3.0
54,West New Brighton-Silver Lake-Grymes Hill,"40.633778,-74.085986",3.0
457,Port Richmond,"40.633841,-74.125398",153.0
262,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.633974,-74.085579",273.0
198,Bay Ridge,"40.634412,-74.02321",1.0
498,West New Brighton-Silver Lake-Grymes Hill,"40.634584,-74.117749",1.0
187,West New Brighton-Silver Lake-Grymes Hill,"40.634629,-74.11213",19.0
38,West New Brighton-Silver Lake-Grymes Hill,"40.634635,-74.086666",257.0
193,West New Brighton-Silver Lake-Grymes Hill,"40.634649,-74.108527",161.0
364,West New Brighton-Silver Lake-Grymes Hill,"40.634709,-74.114634",12.0
493,West New Brighton-Silver Lake-Grymes Hill,"40.634794,-74.111842",189.0
319,Tompkinsville-Stapleton-Clifton-Fox Hills,"40.634895,-74.075448",41.0
81,Port Richmond,"40.635935,-74.135065",60.0
414,Port Richmond,"40.636099,-74.134826",128.0
486,Sunset Park (Central),"40.636607,-74.01154",391.0
36,Mariner's Harbor-Arlington-Graniteville,"40.636777,-74.157557",13.0
355,Mariner's Harbor-Arlington-Graniteville,"40.63699,-74.159932",18.0
482,West New Brighton-Silver Lake-Grymes Hill,"40.637398,-74.1127",203.0
304,Mariner's Harbor-Arlington-Graniteville,"40.63791,-74.162089",3.0
269,Port Richmond,"40.638743,-74.132956",797.0
367,Sunset Park (Central),"40.639261,-74.015951",12.0
300,Sunset Park (Central),"40.639689,-74.015843",374.0
454,Port Richmond,"40.640318,-74.130766",107.0
1,Sunset Park (Central),"40.640578,-74.018124",184.0
153,St. George-New Brighton,"40.64065,-74.095176",103.0
363,St. George-New Brighton,"40.641114,-74.094946",36.0
19,West New Brighton-Silver Lake-Grymes Hill,"40.641784,-74.1155",53.0
150,Borough Park,"40.64189,-73.981284",7.0
39,Kensington,"40.642696,-73.979883",5.0
31,Sunset Park (West),"40.643233,-74.012374",3.0
274,Kensington,"40.643612,-73.97723",225.0
30,Sunset Park (Central),"40.644183,-74.011174",5.0
110,Kensington,"40.644332,-73.975965",2.0
223,Sunset Park (East)-Borough Park (West),"40.644356,-73.992613",156.0
338,Sunset Park (Central),"40.644861,-74.010021",44.0
176,Kensington,"40.644999,-73.973952",429.0
451,Sunset Park (Central),"40.645297,-74.010014",56.0
445,Kensington,"40.645396,-73.973514",155.0
163,Sunset Park (West),"40.645434,-74.013992",14.0
413,Kensington,"40.645476,-73.979895",107.0
283,Sunset Park (East)-Borough Park (West),"40.645704,-73.994843",1.0
136,Sunset Park (East)-Borough Park (West),"40.645918,-73.994923",15.0
436,St. George-New Brighton,"40.646355,-74.07844",178.0
362,St. George-New Brighton,"40.646592,-74.089208",1.0
275,St. George-New Brighton,"40.646853,-74.088536",1.0
24,Sunset Park (East)-Borough Park (West),"40.647018,-73.996987",49.0
139,St. George-New Brighton,"40.647292,-74.081124",206.0
358,St. George-New Brighton,"40.647418,-74.087873",190.0
134,Sunset Park (Central),"40.647523,-73.997614",294.0
380,St. George-New Brighton,"40.647757,-74.086966",17.0
240,Sunset Park (Central),"40.648374,-73.999232",258.0
316,Flatbush,"40.649313,-73.963199",5.0
469,East Flatbush-Erasmus,"40.650764,-73.949277",148.0
390,Sunset Park (West),"40.652335,-74.005795",254.0
397,Sunset Park (West),"40.653814,-74.00524",21.0
127,Sunset Park (West),"40.654972,-74.010181",25.0
298,Rosedale,"40.657435,-73.741759",236.0
190,Rosedale,"40.657503,-73.744956",447.0
42,Windsor Terrace-South Slope,"40.659626,-73.977217",5.0
279,Prospect Park,"40.66007,-73.977772",240.0
185,Springfield Gardens (South)-Brookville,"40.66397,-73.768465",282.0
264,Springfield Gardens (South)-Brookville,"40.664368,-73.768265",122.0
495,Howard Beach-Lindenwood,"40.664506,-73.849797",2.0
335,Rosedale,"40.66568,-73.73623",42.0
183,Park Slope,"40.665909,-73.982287",277.0
204,East New York-New Lots,"40.666296,-73.882727",9.0
476,Park Slope,"40.666648,-73.981897",4.0
34,Laurelton,"40.667131,-73.757121",22.0
315,Park Slope,"40.667271,-73.981178",11.0
500,Springfield Gardens (North)-Rochdale Village,"40.667706,-73.780563",172.0
412,Park Slope,"40.66891,-73.986637",331.0
70,Park Slope,"40.668915,-73.985988",108.0
106,Park Slope,"40.668923,-73.979777",3.0
322,Park Slope,"40.669431,-73.98597",57.0
356,Park Slope,"40.669432,-73.986637",211.0
14,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.669918,-73.989286",71.0
460,Park Slope,"40.67017,-73.985584",163.0
449,Park Slope,"40.67057,-73.985025",3.0
35,Ozone Park,"40.67075,-73.842631",310.0
502,Laurelton,"40.670818,-73.756361",146.0
66,Park Slope,"40.671805,-73.983994",29.0
383,Laurelton,"40.671935,-73.756343",1.0
83,Springfield Gardens (North)-Rochdale Village,"40.67218,-73.761233",306.0
2,Prospect Park,"40.672222,-73.969008",1.0
420,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.674045,-74.002126",137.0
504,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.674894,-74.001108",93.0
152,Brownsville,"40.67504,-73.904496",14.0
206,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.675698,-74.014662",6.0
485,Laurelton,"40.676343,-73.740813",197.0
479,Ozone Park,"40.676648,-73.843509",292.0
483,East New York (North),"40.676651,-73.890777",58.0
354,Park Slope,"40.676682,-73.98019",217.0
438,Park Slope,"40.676845,-73.973898",67.0
428,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.676988,-74.013231",7.0
368,Laurelton,"40.677514,-73.744248",2.0
55,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.677757,-74.012326",335.0
154,Prospect Heights,"40.677797,-73.973229",12.0
373,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.679115,-74.010729",34.0
44,Bedford-Stuyvesant (East),"40.67919,-73.928636",295.0
188,South Ozone Park,"40.679819,-73.837991",304.0
272,Ozone Park,"40.679836,-73.844731",331.0
88,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.680191,-74.009468",704.0
144,Ozone Park,"40.68026,-73.842066",2.0
232,Ozone Park,"40.680473,-73.842372",1.0
18,Cypress Hills,"40.680846,-73.891895",125.0
82,South Ozone Park,"40.681321,-73.83882",123.0
427,Cypress Hills,"40.681721,-73.871923",148.0
303,Park Slope,"40.681882,-73.976787",17.0
468,South Ozone Park,"40.682029,-73.836716",39.0
450,Ocean Hill,"40.683212,-73.91117",134.0
109,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.683269,-74.003479",311.0
424,Downtown Brooklyn-DUMBO-Boerum Hill,"40.687563,-73.986727",210.0
84,Woodhaven,"40.687999,-73.84986",15.0
184,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.688913,-74.000744",7.0
208,Downtown Brooklyn-DUMBO-Boerum Hill,"40.689565,-73.992204",163.0
278,Cypress Hills,"40.689797,-73.872708",184.0
255,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.690095,-73.994155",242.0
462,Downtown Brooklyn-DUMBO-Boerum Hill,"40.69022,-73.987469",55.0
472,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"40.690701,-73.996401",193.0
289,Bedford-Stuyvesant (West),"40.690902,-73.955843",170.0
219,Bedford-Stuyvesant (West),"40.691337,-73.952196",252.0
257,St. Albans,"40.691427,-73.762442",240.0
145,St. Albans,"40.691764,-73.762858",16.0
327,Brooklyn Heights,"40.692022,-73.989228",243.0
56,Downtown Brooklyn-DUMBO-Boerum Hill,"40.69256,-73.989131",143.0
372,Woodhaven,"40.693813,-73.851904",10.0
297,Bushwick (West),"40.693965,-73.929692",102.0
226,Woodhaven,"40.694003,-73.850981",481.0
155,Richmond Hill,"40.695115,-73.844826",146.0
405,St. Albans,"40.696066,-73.746528",264.0
337,Richmond Hill,"40.696843,-73.837062",44.0
74,Bedford-Stuyvesant (East),"40.69693,-73.935966",2.0
27,Bushwick (East),"40.70005,-73.911769",3.0
334,Richmond Hill,"40.700562,-73.83632",53.0
179,Bedford-Stuyvesant (East),"40.700573,-73.942261",309.0
332,Richmond Hill,"40.701097,-73.841261",1.0
200,St. Albans,"40.701992,-73.765629",241.0
221,Jamaica,"40.703099,-73.796108",27.0
473,Queens Village,"40.703532,-73.740957",23.0
107,Jamaica,"40.703657,-73.799181",224.0
294,Bushwick (West),"40.704149,-73.919426",103.0
192,Jamaica,"40.704299,-73.792933",6.0
131,Bushwick (West),"40.704487,-73.918961",18.0
100,Hollis,"40.707267,-73.751719",49.0
228,Chinatown-Two Bridges,"40.711877,-73.997922",168.0
379,East Williamsburg,"40.712062,-73.940017",3.0
320,Jamaica,"40.712528,-73.784081",2.0
401,Chinatown-Two Bridges,"40.712601,-73.989561",71.0
254,Chinatown-Two Bridges,"40.712684,-73.990419",33.0
439,Chinatown-Two Bridges,"40.712807,-73.988886",43.0
333,Chinatown-Two Bridges,"40.71288,-73.992288",165.0
48,Chinatown-Two Bridges,"40.712931,-73.98744",2.0
51,Queens Village,"40.713163,-73.735765",3.0
250,Lower East Side,"40.713218,-73.984341",10.0
49,Chinatown-Two Bridges,"40.713374,-73.998679",320.0
156,Chinatown-Two Bridges,"40.713376,-73.997392",67.0
227,Chinatown-Two Bridges,"40.71351,-73.997626",188.0
142,Lower East Side,"40.713586,-73.981358",2.0
443,Chinatown-Two Bridges,"40.713808,-73.99265",121.0
80,Chinatown-Two Bridges,"40.714094,-73.990301",157.0
128,Lower East Side,"40.719558,-73.989999",2.0
173,Forest Hills,"40.721106,-73.844033",168.0
116,Greenpoint,"40.725111,-73.95163",251.0
391,Stuyvesant Town-Peter Cooper Village,"40.729699,-73.974715",201.0
207,Greenpoint,"40.729832,-73.954159",115.0
126,Stuyvesant Town-Peter Cooper Village,"40.730813,-73.973903",89.0
271,Stuyvesant Town-Peter Cooper Village,"40.731266,-73.974185",156.0
464,West Village,"40.731571,-74.006534",36.0
404,West Village,"40.734228,-74.002587",221.0
309,Corona,"40.734502,-73.864618",90.0
63,Oakland Gardens-Hollis Hills,"40.73564,-73.746645",863.0
324,Elmhurst,"40.736357,-73.878318",20.0
387,Elmhurst,"40.736494,-73.877838",1.0
385,Corona,"40.736544,-73.859004",3.0
125,Corona,"40.736835,-73.865792",117.0
270,West Village,"40.737379,-74.004929",22.0
282,Corona,"40.737772,-73.85216",3.0
161,Corona,"40.739159,-73.852687",3.0
118,Murray Hill-Kips Bay,"40.739627,-73.976496",1.0
96,Murray Hill-Kips Bay,"40.741957,-73.974808",236.0
122,Corona,"40.742172,-73.867254",1.0
